number,u_week
LEAD00641409,1
LEAD00641249,1
LEAD00641236,1
LEAD00641297,1
LEAD00641351,1
LEAD00641327,1
LEAD00641369,1
LEAD00641293,1
LEAD00641430,1
LEAD00641429,1
LEAD00641428,1
LEAD00641427,1
LEAD00641426,1
LEAD00641425,1
LEAD00641424,1
LEAD00641422,1
LEAD00641421,1
LEAD00641420,1
LEAD00641419,1
LEAD00641418,1
LEAD00641417,1
LEAD00641415,1
LEAD00641416,1
LEAD00641414,1
LEAD00641412,1
LEAD00641411,1
LEAD00641410,1
LEAD00641408,1
LEAD00641407,1
LEAD00641406,1
LEAD00641405,1
LEAD00641403,1
LEAD00641404,1
LEAD00641402,1
LEAD00641401,1
LEAD00641400,1
LEAD00641399,1
LEAD00641398,1
LEAD00641397,1
LEAD00641396,1
LEAD00641395,1
LEAD00641394,1
LEAD00641393,1
LEAD00641392,1
LEAD00641390,1
LEAD00641389,1
LEAD00641388,1
LEAD00641387,1
LEAD00641386,1
LEAD00641384,1
LEAD00641383,1
LEAD00641382,1
LEAD00641381,1
LEAD00641380,1
LEAD00641379,1
LEAD00641378,1
LEAD00641376,1
LEAD00641375,1
LEAD00641374,1
LEAD00641372,1
LEAD00641371,1
LEAD00641370,1
LEAD00641368,1
LEAD00641367,1
LEAD00641366,1
LEAD00641364,1
LEAD00641363,1
LEAD00641362,1
LEAD00641361,1
LEAD00641360,1
LEAD00641359,1
LEAD00641358,1
LEAD00641357,1
LEAD00641355,1
LEAD00641354,1
LEAD00641353,1
LEAD00641352,1
LEAD00641350,1
LEAD00641349,1
LEAD00641348,1
LEAD00641346,1
LEAD00641345,1
LEAD00641344,1
LEAD00641343,1
LEAD00641342,1
LEAD00641341,1
LEAD00641340,1
LEAD00641339,1
LEAD00641338,1
LEAD00641336,1
LEAD00641335,1
LEAD00641334,1
LEAD00641332,1
LEAD00641331,1
LEAD00641330,1
LEAD00641329,1
LEAD00641328,1
LEAD00641326,1
LEAD00641325,1
LEAD00641324,1
LEAD00641323,1
LEAD00641322,1
LEAD00641321,1
LEAD00641320,1
LEAD00641319,1
LEAD00641318,1
LEAD00641317,1
LEAD00641316,1
LEAD00641315,1
LEAD00641314,1
LEAD00641312,1
LEAD00641313,1
LEAD00641310,1
LEAD00641309,1
LEAD00641308,1
LEAD00641307,1
LEAD00641305,1
LEAD00641306,1
LEAD00641304,1
LEAD00641303,1
LEAD00641301,1
LEAD00641302,1
LEAD00641300,1
LEAD00641296,1
LEAD00641292,1
LEAD00641291,1
LEAD00641290,1
LEAD00641288,1
LEAD00641287,1
LEAD00641286,1
LEAD00641285,1
LEAD00641284,1
LEAD00641283,1
LEAD00641282,1
LEAD00641281,1
LEAD00641280,1
LEAD00641278,1
LEAD00641277,1
LEAD00641276,1
LEAD00641275,1
LEAD00641273,1
LEAD00641274,1
LEAD00641272,1
LEAD00641271,1
LEAD00641270,1
LEAD00641267,1
LEAD00641268,1
LEAD00641263,1
